job_category,salary_in_usd,experience_level,work_setting,company_size,Cluster
Data Engineering,167200.0,Senior,In-person,M,0
Data Engineering,133000.0,Senior,In-person,M,0
Data Engineering,58400.00000000001,Senior,In-person,M,0
Data Science and Research,135000.0,Mid-level,In-person,M,2
Data Science and Research,110000.0,Mid-level,In-person,M,2
Leadership and Management,104584.0,Mid-level,In-person,M,2
Leadership and Management,73824.0,Mid-level,In-person,M,2
Data Science and Research,187415.00000000003,Senior,In-person,M,0
Data Science and Research,114080.0,Senior,In-person,M,0
Data Engineering,166000.0,Mid-level,In-person,M,2
Data Engineering,73100.0,Mid-level,In-person,M,2
Machine Learning and AI,306400.0,Senior,In-person,M,0
Machine Learning and AI,168700.0,Senior,In-person,M,0
Data Analysis,165000.0,Senior,Remote,M,1
Data Analysis,140000.0,Senior,Remote,M,1
Leadership and Management,150000.0,Mid-level,Remote,M,4
Data Analysis,167000.0,Mid-level,In-person,M,2
Data Analysis,121000.0,Mid-level,In-person,M,2
Data Science and Research,190200.0,Senior,In-person,M,0
Data Science and Research,95100.0,Senior,In-person,M,0
Data Engineering,90000.0,Mid-level,Remote,M,4
Data Engineering,70000.0,Mid-level,Remote,M,4
Data Science and Research,73100.0,Mid-level,In-person,M,2
Data Engineering,135000.0,Senior,In-person,M,0
Data Engineering,100000.00000000001,Senior,In-person,M,0
Data Engineering,180514.0,Senior,Remote,M,1
Data Engineering,108307.99999999999,Senior,Remote,M,1
Machine Learning and AI,294000.0,Senior,In-person,M,0
Machine Learning and AI,192000.0,Senior,In-person,M,0
Machine Learning and AI,266000.0,Senior,In-person,M,0
Machine Learning and AI,167000.0,Senior,In-person,M,0
Machine Learning and AI,200000.00000000003,Senior,Remote,M,1
Machine Learning and AI,150000.0,Senior,Remote,M,1
Data Analysis,163800.00000000003,Entry-level,Remote,M,3
Data Analysis,88200.0,Entry-level,Remote,M,3
Data Analysis,180400.0,Senior,In-person,M,0
Data Analysis,138800.0,Senior,In-person,M,0
Data Analysis,67672.00000000001,Mid-level,In-person,M,2
Data Analysis,55368.00000000001,Mid-level,In-person,M,2
Machine Learning and AI,319000.0,Senior,Remote,M,1
Machine Learning and AI,206000.0,Senior,Remote,M,1
Data Science and Research,214999.99999999997,Senior,In-person,M,0
Data Science and Research,142000.0,Senior,In-person,M,0
Data Science and Research,266000.0,Senior,In-person,M,0
Data Science and Research,167000.0,Senior,In-person,M,0
Data Analysis,140130.0,Senior,In-person,M,0
Data Analysis,84870.0,Senior,In-person,M,0
Data Engineering,178300.0,Mid-level,In-person,M,2
Data Engineering,105400.0,Mid-level,In-person,M,2
Machine Learning and AI,214999.99999999997,Senior,In-person,M,0
Machine Learning and AI,142000.0,Senior,In-person,M,0
Data Science and Research,240000.0,Senior,Remote,M,1
Data Science and Research,209999.99999999997,Senior,Remote,M,1
Data Engineering,150000.0,Mid-level,In-person,M,2
Data Science and Research,116000.0,Senior,In-person,M,0
Data Science and Research,90000.0,Senior,In-person,M,0
Data Science and Research,145000.0,Senior,In-person,M,0
Data Science and Research,128000.0,Senior,In-person,M,0
Data Engineering,154000.0,Senior,Remote,M,1
Data Engineering,126000.00000000001,Senior,Remote,M,1
Machine Learning and AI,240000.0,Senior,In-person,M,0
Machine Learning and AI,157250.0,Senior,In-person,M,0
Machine Learning and AI,180000.0,Mid-level,Remote,M,4
Machine Learning and AI,125000.0,Mid-level,Remote,M,4
Data Science and Research,60000.0,Mid-level,In-person,M,2
Data Science and Research,55000.0,Mid-level,In-person,M,2
Data Engineering,250000.0,Mid-level,In-person,M,2
Data Engineering,125000.0,Mid-level,In-person,M,2
Machine Learning and AI,190000.0,Senior,Remote,M,1
Machine Learning and AI,170000.0,Senior,Remote,M,1
Data Science and Research,202600.0,Senior,Remote,M,1
Data Science and Research,168800.00000000003,Senior,Remote,M,1
Data Engineering,132000.0,Mid-level,Remote,M,4
Data Engineering,111000.0,Mid-level,Remote,M,4
Data Science and Research,203000.0,Senior,Remote,M,1
Data Science and Research,127000.0,Senior,Remote,M,1
BI and Visualization,125008.99999999999,Mid-level,Remote,M,4
BI and Visualization,83339.0,Mid-level,Remote,M,4
Data Analysis,112200.0,Senior,Remote,M,1
Data Analysis,91800.0,Senior,Remote,M,1
Machine Learning and AI,200000.00000000003,Senior,In-person,M,0
Machine Learning and AI,160000.0,Senior,In-person,M,0
Data Engineering,160000.0,Mid-level,In-person,M,2
Data Engineering,254000.0,Senior,In-person,M,0
Data Engineering,159000.0,Senior,In-person,M,0
Data Engineering,170000.0,Senior,In-person,M,0
Data Engineering,85000.0,Senior,In-person,M,0
Data Science and Research,130500.0,Mid-level,In-person,M,2
Data Science and Research,116000.0,Mid-level,In-person,M,2
Data Science and Research,81400.0,Entry-level,Remote,M,3
Data Science and Research,43500.00000000001,Entry-level,Remote,M,3
Data Engineering,169000.00000000003,Mid-level,In-person,M,2
Data Engineering,91999.99999999999,Mid-level,In-person,M,2
Data Analysis,166000.0,Senior,In-person,M,0
Data Analysis,73100.0,Senior,In-person,M,0
Data Science and Research,190000.0,Senior,In-person,M,0
Data Science and Research,165000.0,Senior,In-person,M,0
Machine Learning and AI,305600.0,Senior,In-person,M,0
Machine Learning and AI,146600.0,Senior,In-person,M,0
Data Analysis,150000.0,Senior,In-person,M,0
Data Analysis,120000.0,Senior,In-person,M,0
Data Engineering,275000.0,Senior,In-person,M,0
Data Engineering,146400.0,Senior,In-person,M,0
Data Science and Research,208500.0,Senior,In-person,M,0
Data Science and Research,258700.0,Senior,In-person,M,0
Data Science and Research,172500.0,Senior,In-person,M,0
Data Engineering,185000.0,Senior,Remote,M,1
